iter	Logloss
0	0.684431314
1	0.6776121618
2	0.6693722529
3	0.6612307202
4	0.6531714277
5	0.6469000031
6	0.6415478564
7	0.6329885846
8	0.6258916995
9	0.6203041697
10	0.6155683741
11	0.6087182093
12	0.6026183433
13	0.5987771115
14	0.5931442326
15	0.588263392
16	0.5840642267
17	0.5780589578
18	0.5718729526
19	0.5676101427
20	0.5620543452
21	0.5552961382
22	0.5509340523
23	0.5471227533
24	0.5431447545
25	0.5394735816
26	0.5352968509
27	0.5319508594
28	0.5271133283
29	0.5221798805
30	0.5190651331
31	0.514885583
32	0.5116544638
33	0.5087855371
34	0.5058376694
35	0.5023266578
36	0.4991531246
37	0.4961135391
38	0.4935991267
39	0.4912438558
40	0.4880585955
41	0.4853479105
42	0.4824913108
43	0.4802819247
44	0.4773570015
45	0.4757830718
46	0.4733648461
47	0.4721380526
48	0.4695969166
49	0.4670830141
50	0.4649191569
51	0.4634147505
52	0.4613497494
53	0.4587799704
54	0.4575320919
55	0.4560639167
56	0.4538019233
57	0.4520103962
58	0.4500681255
59	0.4482971135
60	0.4469585369
61	0.4450832701
62	0.4440800425
63	0.441528769
64	0.4399716053
65	0.4386638613
66	0.4371218739
67	0.4356441909
68	0.4339672362
69	0.4326470452
70	0.4314070548
71	0.4302104639
72	0.4290186119
73	0.4276516023
74	0.4263281421
75	0.4251781899
76	0.4241203756
77	0.4229416904
78	0.421780521
79	0.4207181477
80	0.4196898461
81	0.4183854913
82	0.417215804
83	0.4159833418
84	0.4151994812
85	0.4140713038
86	0.4130113899
87	0.411848001
88	0.4111641663
89	0.4106413326
90	0.409828709
91	0.4089598189
92	0.4079149314
93	0.4068588566
94	0.4058190379
95	0.4051098892
96	0.4043526922
97	0.4035558748
98	0.4028710802
99	0.4020305933
100	0.4011810186
101	0.3999922859
102	0.3991610667
103	0.3983271482
104	0.3972703836
105	0.3963688014
106	0.3955292143
107	0.3948492786
108	0.3940251078
109	0.3932923848
110	0.3921755147
111	0.3913705092
112	0.3907143878
113	0.3901695694
114	0.3892613289
115	0.3885029022
116	0.3880806042
117	0.3874425984
118	0.3868754354
119	0.3863388651
120	0.3856768051
121	0.3851286575
122	0.3842956388
123	0.3840078283
124	0.3831265813
125	0.3826453776
126	0.3823305137
127	0.3819582436
128	0.3812979232
129	0.380462505
130	0.3800058654
131	0.3794554684
132	0.3789335945
133	0.3786668389
134	0.3781912139
135	0.3776918345
136	0.3768890785
137	0.3764668406
138	0.3759153038
139	0.3755153805
140	0.3751880696
141	0.3747622624
142	0.3742852577
143	0.3739254946
144	0.3734652559
145	0.3731311066
146	0.3725673928
147	0.3719740162
148	0.3718560247
149	0.3712996592
150	0.3710356329
151	0.3707301568
152	0.3705444416
153	0.3698759032
154	0.3696928274
155	0.3692906846
156	0.368986948
157	0.3687351288
158	0.3682908462
159	0.3678344465
160	0.3675531745
161	0.3672187853
162	0.366872369
163	0.3666236691
164	0.366230794
165	0.3659031232
166	0.3657234366
167	0.3653392894
168	0.3649863947
169	0.3645602577
170	0.3642010645
171	0.3639304099
172	0.3636665936
173	0.3634281512
174	0.3629219036
175	0.3627646815
176	0.362551853
177	0.3621528594
178	0.3620088042
179	0.3617296017
180	0.3613162116
181	0.3609697953
182	0.3608637709
183	0.3604882316
184	0.360230054
185	0.3599084717
186	0.3598478864
187	0.3595999663
188	0.3593894171
189	0.3592030422
190	0.3587907918
191	0.3582996905
192	0.3579740891
193	0.357689098
194	0.3575144802
195	0.3572541431
196	0.3570777557
197	0.3567718896
198	0.3564797002
199	0.3561405422
200	0.3559672441
201	0.3557130255
202	0.3555340887
203	0.3552341012
204	0.3550479062
205	0.3547939576
206	0.3544621778
207	0.3542451802
208	0.3539609389
209	0.3537920797
210	0.353505199
211	0.3532635774
212	0.3530366522
213	0.3528437088
214	0.3526421875
215	0.3523274436
216	0.3522227389
217	0.3520564291
218	0.3519225414
219	0.3516141859
220	0.3513503097
221	0.3510774356
222	0.3509108859
223	0.3508108001
224	0.3506367521
225	0.3503460624
226	0.3500187515
227	0.3498503722
228	0.3495315192
229	0.3493078632
230	0.3490428773
231	0.3489677154
232	0.3487796609
233	0.3486656584
234	0.3484266162
235	0.3482106684
236	0.3480572255
237	0.3478374086
238	0.3476581719
239	0.3474147507
240	0.3471956236
241	0.3470426906
242	0.3470092787
243	0.3469226296
244	0.3467029027
245	0.3465621167
246	0.3462472528
247	0.3460516401
248	0.3459246808
249	0.3457722876
250	0.3456312317
251	0.3454273109
252	0.3453063202
253	0.344988577
254	0.3448769439
255	0.3446816911
256	0.3445841547
257	0.3443145198
258	0.3441167176
259	0.3440087737
260	0.3438390147
261	0.3436081905
262	0.3433918228
263	0.3432452782
264	0.3431350848
265	0.3428759475
266	0.3426711569
267	0.3426291071
268	0.3425481867
269	0.3423008964
270	0.3421477234
271	0.3420140157
272	0.3418421873
273	0.3416794466
274	0.3414155703
275	0.3412198376
276	0.340937126
277	0.3407891417
278	0.3406151538
279	0.340332682
280	0.3401561147
281	0.3398987469
282	0.339732647
283	0.33938902
284	0.3391828199
285	0.3390559505
286	0.3388738045
287	0.3386734529
288	0.3384858183
289	0.3384087669
290	0.3383119503
291	0.3381763231
292	0.3380200008
293	0.337948918
294	0.3377800288
295	0.3376562188
296	0.3375005264
297	0.3373257586
298	0.3370982036
299	0.336877067
