iter	Passed	Remaining
0	149	44843
1	154	22995
2	158	15687
3	163	12065
4	167	9882
5	171	8407
6	175	7352
7	179	6559
8	183	5946
9	187	5446
10	191	5040
11	195	4702
12	200	4420
13	204	4174
14	208	3960
15	212	3770
16	215	3591
17	219	3446
18	223	3311
19	228	3192
20	232	3084
21	237	2995
22	241	2905
23	245	2823
24	249	2747
25	253	2674
26	258	2612
27	262	2549
28	266	2490
29	270	2435
30	275	2386
31	279	2338
32	283	2292
33	287	2247
34	291	2208
35	295	2168
36	299	2130
37	303	2093
38	309	2069
39	313	2039
40	318	2009
41	322	1981
42	327	1954
43	331	1926
44	335	1899
45	339	1874
46	343	1848
47	347	1824
48	351	1801
49	356	1783
50	361	1764
51	364	1737
52	368	1716
53	373	1701
54	376	1676
55	380	1658
56	384	1640
57	388	1622
58	392	1605
59	396	1587
60	400	1570
61	404	1554
62	409	1538
63	413	1523
64	417	1508
65	421	1493
66	425	1479
67	429	1465
68	434	1455
69	439	1443
70	443	1432
71	450	1427
72	455	1414
73	459	1402
74	463	1390
75	467	1378
76	471	1366
77	476	1355
78	480	1342
79	484	1331
80	488	1319
81	492	1308
82	496	1297
83	500	1287
84	505	1277
85	510	1270
86	514	1259
87	518	1249
88	523	1240
89	527	1230
90	531	1220
91	535	1210
92	539	1200
93	543	1191
94	547	1181
95	551	1172
96	555	1163
97	559	1154
98	563	1145
99	568	1136
100	572	1128
101	577	1121
102	581	1112
103	585	1104
104	589	1095
105	593	1087
106	598	1078
107	602	1070
108	606	1061
109	610	1054
110	615	1047
111	619	1039
112	623	1031
113	627	1024
114	631	1016
115	635	1008
116	640	1001
117	644	993
118	648	986
119	652	979
120	656	971
121	660	964
122	664	956
123	669	950
124	677	948
125	684	944
126	689	939
127	694	933
128	699	927
129	704	921
130	709	915
131	714	908
132	718	902
133	723	895
134	727	889
135	732	882
136	736	876
137	741	869
138	745	863
139	751	859
140	756	853
141	762	848
142	769	844
143	773	838
144	778	831
145	782	825
146	787	819
147	792	813
148	796	807
149	801	801
150	805	795
151	811	790
152	815	783
153	820	777
154	824	771
155	828	765
156	833	759
157	838	753
158	842	747
159	847	741
160	852	735
161	859	732
162	865	727
163	871	722
164	877	718
165	883	713
166	888	707
167	894	703
168	899	697
169	904	691
170	910	687
171	980	729
172	987	724
173	994	720
174	1001	715
175	1008	710
176	1044	725
177	1050	720
178	1063	718
179	1070	713
180	1076	707
181	1083	702
182	1090	696
183	1096	691
184	1103	685
185	1110	680
186	1117	675
187	1124	669
188	1130	664
189	1140	660
190	1149	655
191	1154	649
192	1158	642
193	1163	635
194	1169	629
195	1173	622
196	1196	625
197	1203	620
198	1210	614
199	1215	607
200	1220	601
201	1225	594
202	1232	589
203	1236	582
204	1241	575
205	1245	568
206	1249	561
207	1253	554
208	1257	547
209	1262	540
210	1266	534
211	1270	527
212	1274	520
213	1278	513
214	1282	507
215	1287	500
216	1291	493
217	1295	487
218	1299	480
219	1303	474
220	1307	467
221	1311	460
222	1316	454
223	1320	447
224	1324	441
225	1328	434
226	1332	428
227	1337	422
228	1342	416
229	1347	410
230	1352	403
231	1356	397
232	1360	391
233	1364	384
234	1368	378
235	1373	372
236	1377	366
237	1381	359
238	1385	353
239	1389	347
240	1393	341
241	1397	334
242	1400	328
243	1404	322
244	1408	316
245	1413	310
246	1417	304
247	1421	298
248	1425	292
249	1429	285
250	1433	279
251	1439	274
252	1444	268
253	1448	262
254	1452	256
255	1457	250
256	1461	244
257	1465	238
258	1469	232
259	1474	226
260	1478	220
261	1482	214
262	1486	209
263	1490	203
264	1494	197
265	1498	191
266	1502	185
267	1506	179
268	1510	174
269	1515	168
270	1519	162
271	1523	156
272	1527	151
273	1531	145
274	1535	139
275	1539	133
276	1544	128
277	1548	122
278	1552	116
279	1556	111
280	1560	105
281	1564	99
282	1568	94
283	1573	88
284	1578	83
285	1582	77
286	1586	71
287	1590	66
288	1594	60
289	1598	55
290	1602	49
291	1606	44
292	1610	38
293	1614	32
294	1618	27
295	1622	21
296	1626	16
297	1630	10
298	1635	5
299	1639	0
