ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2005-01-01,0.033492602234524445,6608.0259261075835,9255.95079377462,-3.3964306933575563,-3.3964306933575563,12.362683479455873,12.362683479455873,12.362683479455873,12.362683479455873,12.362683479455873,12.362683479455873,0.0,0.0,0.0,7834.190148157091
2006-01-01,0.046994595536394575,10188.338392777398,14352.753885963963,-3.0577226724711224,-3.0577226724711224,12.468800859920275,12.468800859920275,12.468800859920275,12.468800859920275,12.468800859920275,12.468800859920275,0.0,0.0,0.0,12223.042605441768
2007-01-01,0.06593969665757209,14701.755888255526,20759.352462430994,-2.7190146416285983,-2.7190146416285983,12.491181343933828,12.491181343933828,12.491181343933828,12.491181343933828,12.491181343933828,12.491181343933828,0.0,0.0,0.0,17538.727280265768
2008-01-01,0.09252220515138193,19763.47989636344,27352.80743459232,-2.380306607581899,-2.380306607581899,12.429780436347173,12.429780436347173,12.429780436347173,12.429780436347173,12.429780436347173,12.429780436347173,0.0,0.0,0.0,23143.60614128904
2009-01-01,0.12994080328601418,25421.320052359188,36119.20297163623,-2.0406762915724546,-2.0406762915724546,12.362683479454823,12.362683479454823,12.362683479454823,12.362683479454823,12.362683479454823,12.362683479454823,0.0,0.0,0.0,30394.203287569566
2010-01-01,0.1758108828069072,39048.479647058,54237.49968425999,-1.7383463911709132,-1.7383463911709132,12.468800859920254,12.468800859920254,12.468800859920254,12.468800859920254,12.468800859920254,12.468800859920254,0.0,0.0,0.0,45727.46901044994
2011-01-01,0.2069124585727848,46529.33683093714,64275.6559427229,-1.57545948061198,-1.57545948061198,12.491181343933803,12.491181343933803,12.491181343933803,12.491181343933803,12.491181343933803,12.491181343933803,0.0,0.0,0.0,55034.84798607346
2012-01-01,0.24333904753350932,51916.758022115064,73476.06825989252,-1.4132995507691097,-1.4132995507691097,12.4297804363473,12.4297804363473,12.4297804363473,12.4297804363473,12.4297804363473,12.4297804363473,0.0,0.0,0.0,60869.09694487052
2013-01-01,0.28619330656831743,56967.87497545111,78886.54945229908,-1.2510877993858323,-1.2510877993858323,12.362683479456061,12.362683479456061,12.362683479456061,12.362683479456061,12.362683479456061,12.362683479456061,0.0,0.0,0.0,66942.92569704454
2014-01-01,0.33641829617272934,74194.42605345337,103233.78454799752,-1.0893999642150922,-1.0893999642150922,12.468800859920815,12.468800859920815,12.468800859920815,12.468800859920815,12.468800859920815,12.468800859920815,0.0,0.0,0.0,87500.59704603846
